sample,contig,IIG,MT,RE,SP
fix_EcCa536a,contig_4,0,2,0,0
fix_EcCa536b,contig_3,1,9,10,1
fix_EcCa536b,contig_8,0,2,0,0
fix_EcCa536c,contig_1,1,9,10,1
fix_EcCa536c,contig_4,0,2,0,0
fix_EcCa536d,contig_3,1,9,10,1
fix_EcCa536d,contig_6,0,2,0,0
fix_EcCa536e,contig_1,1,8,10,1
fix_EcCa536e,contig_2,0,2,0,0
fix_EcCa537a,contig_1,1,8,10,1
fix_EcCa537a,contig_2,0,2,0,0
fix_EcCa537b,contig_1,1,8,10,1
fix_EcCa537b,contig_6,0,2,0,0
fix_EcCa537c,contig_3,1,8,10,1
fix_EcCa537c,contig_6,0,2,0,0
fix_EcCa537d,contig_1,1,8,10,1
fix_EcCa537d,contig_2,0,2,0,0
fix_EcCa539a,contig_1,1,9,10,1
fix_EcCa539a,contig_4,0,2,0,0
fix_EcCa540a,contig_1,1,8,10,1
fix_EcCa540a,contig_4,0,2,0,0
fix_EcCa540b,contig_3,1,8,10,1
fix_EcCa540b,contig_6,0,2,0,0
fix_EcCa541a,contig_1,1,8,10,1
fix_EcCa541a,contig_2,0,2,0,0
fix_EcCa541b,contig_3,1,8,10,1
fix_EcCa541b,contig_6,0,2,0,0
fix_EcCa541c,contig_1,1,8,10,1
fix_EcCa541c,contig_4,0,2,0,0
fix_EcCa542a,contig_1,1,8,10,1
fix_EcCa542a,contig_6,0,2,0,0
fix_EcCa542b,contig_1,1,8,10,1
fix_EcCa542b,contig_6,0,2,0,0
fix_EcCa542c,contig_1,1,8,10,1
fix_EcCa542c,contig_2,0,2,0,0
fix_EcCa543a,contig_1,1,8,10,1
fix_EcCa543a,contig_4,0,2,0,0
fix_EcCa543b,contig_1,1,9,10,1
fix_EcCa543b,contig_4,0,2,0,0
fix_EcCa543c,contig_1,1,8,10,1
fix_EcCa543c,contig_4,0,2,0,0
fix_EcCa543d,contig_1,1,8,10,1
fix_EcCa543d,contig_8,0,2,0,0
fix_EcCa577a,contig_1,1,5,8,1
fix_EcCa577a,contig_2,0,2,0,0
fix_EcCa577b,contig_1,1,6,9,1
fix_EcCa577b,contig_4,0,2,0,0
fix_EcCa577c,contig_1,1,6,9,1
fix_EcCa577c,contig_4,0,2,0,0
fix_EcCa577d,contig_1,1,6,9,1
fix_EcCa577d,contig_4,0,2,0,0
fix_EcCa613a,contig_1,1,8,10,1
fix_EcCa613a,contig_2,0,2,0,0
fix_EcCa613b,contig_1,1,8,10,1
fix_EcCa613b,contig_2,0,2,0,0
fix_EcCa619a,contig_1,1,6,9,1
fix_EcCa619a,contig_4,0,2,0,0
fix_EcCa619b,contig_1,1,6,9,1
fix_EcCa619b,contig_2,0,2,0,0
fix_EcCa619c,contig_1,1,6,9,1
fix_EcCa619c,contig_2,0,2,0,0
fix_EcCa619d,contig_1,1,6,9,1
fix_EcCa619d,contig_4,0,2,0,0
fix_EcCa619e,contig_1,1,6,9,1
fix_EcCa619e,contig_2,0,2,0,0
fix_EcCa619f,contig_1,1,6,9,1
fix_EcCa619f,contig_2,0,2,0,0
fix_EcCa620a,contig_1,1,6,9,1
fix_EcCa620a,contig_2,0,2,0,0
fix_EcCa620b,contig_1,1,8,10,1
fix_EcCa620b,contig_2,0,2,0,0
fix_EcCa620c,contig_3,1,6,9,1
fix_EcCa620c,contig_6,0,2,0,0
fix_EcCa621a,contig_1,1,6,9,1
fix_EcCa621a,contig_2,0,2,0,0
fix_EcCa621b,contig_1,0,2,0,0
fix_EcCa621b,contig_2,1,6,9,1
fix_EcCa621c,contig_1,1,6,9,1
fix_EcCa621c,contig_4,0,2,0,0
fix_EcCa621d,contig_1,1,6,9,1
fix_EcCa621d,contig_2,0,2,0,0
fix_EcCa622a,contig_1,1,6,9,1
fix_EcCa622a,contig_2,0,4,0,0
fix_EcCa622b,contig_1,1,6,9,1
fix_EcCa622b,contig_2,0,2,0,0
fix_EcCa622c,contig_1,1,5,8,1
fix_EcCa622c,contig_6,0,2,0,0
fix_EcCa622d,contig_3,1,6,9,1
fix_EcCa622d,contig_4,0,2,0,0
fix_EcCa623a,contig_1,1,5,9,1
fix_EcCa623a,contig_2,0,2,0,0
fix_EcCa623b,contig_1,1,6,9,1
fix_EcCa623b,contig_4,0,2,0,0
fix_EcCa623c,contig_1,1,6,9,1
fix_EcCa623c,contig_2,0,2,0,0
fix_EcCa623d,contig_1,1,9,10,1
fix_EcCa623d,contig_3,0,2,0,0
fix_EcCa624a,contig_1,1,6,9,1
fix_EcCa624a,contig_2,0,2,0,0
fix_EcCa624b,contig_3,1,6,9,1
fix_EcCa624b,contig_4,0,2,0,0
fix_EcCa624c,contig_1,1,6,9,1
fix_EcCa624c,contig_4,0,2,0,0
fix_EcCa625a,contig_1,1,6,9,1
fix_EcCa625a,contig_4,0,2,0,0
fix_EcCa625b,contig_3,1,6,9,1
fix_EcCa625b,contig_6,0,2,0,0
fix_EcCa625c,contig_1,1,6,9,1
fix_EcCa625c,contig_6,0,2,0,0
fix_EcCa625d,contig_1,1,6,9,1
fix_EcCa625d,contig_4,0,2,0,0
fix_EcCa626a,contig_1,1,8,10,1
fix_EcCa626a,contig_2,0,2,0,0
fix_EcCa626b,contig_1,1,8,10,1
fix_EcCa626b,contig_2,0,4,0,0
fix_EcCa626c,contig_1,1,8,10,1
fix_EcCa626c,contig_4,0,2,0,0
fix_EcCa626d,contig_1,1,8,10,1
fix_EcCa626d,contig_6,0,2,0,0
fix_EcCa628a,contig_1,1,8,10,1
fix_EcCa628a,contig_3,0,1,0,0
fix_EcCa628a,contig_4,0,2,0,0
fix_EcCa629a_08,contig_1,1,5,9,1
fix_EcCa629a_08,contig_2,0,4,1,0
fix_EcCa629a_08,contig_8,0,2,0,0
fix_EcCa630a,contig_1,1,9,10,1
fix_EcCa630a,contig_4,0,2,0,0
fix_EcCa630a,contig_5,0,2,0,0
fix_EcCa630b,contig_1,1,9,10,1
fix_EcCa630b,contig_4,0,2,0,0
fix_EcCa630b,contig_5,0,2,0,0
fix_EcCa630c,contig_1,1,9,10,1
fix_EcCa630c,contig_2,0,2,0,0
fix_EcCa630c,contig_3,0,2,0,0
fix_EcCa630d,contig_1,1,9,10,1
fix_EcCa630d,contig_2,0,2,0,0
fix_EcCa630d,contig_3,0,2,0,0
fix_EcCa631a,contig_1,1,5,9,1
fix_EcCa631a,contig_2,0,2,0,0
fix_EcCa631b,contig_3,1,9,10,1
fix_EcCa631b,contig_4,0,2,0,0
fix_EcCa631b,contig_5,0,2,0,0
fix_EcCa632a,contig_1,1,8,10,1
fix_EcCa632a,contig_4,0,2,0,0
fix_EcCa632b,contig_1,1,5,9,1
fix_EcCa632b,contig_2,0,2,0,0
fix_EcCa633a,contig_1,1,5,9,1
fix_EcCa633a,contig_2,0,2,0,0
fix_EcCa633b,contig_1,1,5,9,1
fix_EcCa633b,contig_2,0,2,0,0
fix_EcCa633c,contig_1,1,5,9,1
fix_EcCa633c,contig_2,0,2,0,0
fix_EcCa633d,contig_1,1,5,9,1
fix_EcCa633d,contig_2,0,2,0,0
fix_EcCa637a,contig_1,1,8,10,1
fix_EcCa637a,contig_4,0,2,0,0
fix_EcCa638a,contig_1,1,8,10,1
fix_EcCa638a,contig_2,0,2,0,0
fix_EcCa638b,contig_1,1,8,10,1
fix_EcCa638b,contig_2,0,2,0,0
fix_EcCa639a,contig_1,1,8,10,1
fix_EcCa639a,contig_2,0,2,0,0
fix_EcCa639b,contig_1,1,8,10,1
fix_EcCa639b,contig_2,0,2,0,0
fix_EcCa639c,contig_1,1,8,10,1
fix_EcCa639c,contig_4,0,2,0,0
fix_EcCa641a,contig_1,1,5,9,1
fix_EcCa641a,contig_2,0,2,0,0
fix_EcCa641b,contig_1,1,5,9,1
fix_EcCa641b,contig_2,0,2,0,0
fix_EcCa641c,contig_1,1,5,9,1
fix_EcCa641c,contig_2,0,2,0,0
fix_EcCa642a,contig_1,1,8,10,1
fix_EcCa642a,contig_2,0,2,0,0
fix_EcCa642b,contig_1,1,8,10,1
fix_EcCa642b,contig_4,0,2,0,0
fix_EcCa642c,contig_1,1,8,10,1
fix_EcCa642c,contig_4,0,2,0,0
fix_EcCa642d,contig_1,1,8,10,1
fix_EcCa642d,contig_4,0,2,0,0
fix_EcCa643a,contig_1,1,5,9,1
fix_EcCa643a,contig_2,0,2,0,0
fix_EcCa643b,contig_1,1,5,9,1
fix_EcCa643b,contig_4,0,2,0,0
fix_EcCa643c,contig_1,1,8,10,1
fix_EcCa643c,contig_6,0,2,0,0
fix_EcCa644a,contig_1,0,0,1,0
fix_EcCa644a,contig_2,1,5,8,1
fix_EcCa644a,contig_4,0,2,0,0
fix_EcCa644b,contig_1,1,4,8,1
fix_EcCa644b,contig_2,0,1,1,0
fix_EcCa644b,contig_6,0,2,0,0
fix_EcCa644c,contig_1,1,5,9,1
fix_EcCa644c,contig_2,0,2,0,0
fix_EcCa645a,contig_1,1,8,10,1
fix_EcCa645a,contig_8,0,2,0,0
fix_EcCa645b,contig_1,1,8,10,1
fix_EcCa645b,contig_6,0,2,0,0
fix_EcCa645c,contig_1,1,8,10,1
fix_EcCa645c,contig_4,0,2,0,0
fix_EcCa646a,contig_1,1,8,10,1
fix_EcCa646a,contig_4,0,2,0,0
fix_EcCa646b,contig_1,1,8,10,1
fix_EcCa646b,contig_8,0,2,0,0
fix_EcCa646c,contig_1,1,8,10,1
fix_EcCa646c,contig_4,0,2,0,0
fix_EcCa646d_comb,contig_1,1,8,10,1
fix_EcCa646d_comb,contig_6,0,2,0,0
fix_EcCa647a,contig_1,1,8,10,1
fix_EcCa647a,contig_6,0,2,0,0
fix_EcCa647b,contig_1,1,8,10,1
fix_EcCa647b,contig_4,0,2,0,0
fix_EcCa647c,contig_1,1,9,10,1
fix_EcCa647c,contig_6,0,2,0,0
fix_EcCa647d,contig_1,1,8,10,1
fix_EcCa647d,contig_4,0,2,0,0
